,ds,y
0,2017-06-01,2810653.5
1,2017-07-01,2804751.0
2,2017-08-01,2798090.5
3,2017-09-01,2803506.0
4,2017-10-01,2937918.0
5,2017-11-01,2937222.0
6,2017-12-01,2964143.0
7,2018-01-01,2824888.5
8,2018-02-01,2935728.0
9,2018-03-01,2916048.0
10,2018-04-01,2887682.0
11,2018-05-01,2905048.0
12,2018-06-01,2887939.0
13,2018-07-01,2874555.0
14,2018-08-01,2862080.0
15,2018-09-01,2839767.0
16,2018-10-01,2808656.0
17,2018-11-01,2779840.0
18,2018-12-01,2751624.0
19,2019-01-01,2739921.0
20,2019-02-01,2712626.0
21,2019-03-01,2702681.0
22,2019-04-01,2706097.0
23,2019-05-01,2700146.0
24,2019-06-01,2699965.0
25,2019-07-01,2698856.0
26,2019-08-01,2702676.0
27,2019-09-01,2697338.0
28,2019-10-01,2694439.0
29,2019-11-01,2686995.0
30,2019-12-01,2686085.0
31,2020-01-01,2686003.0
32,2020-02-01,2680372.0
33,2020-03-01,2689438.0
34,2020-04-01,2750902.0
35,2020-05-01,2784830.0
36,2020-06-01,2812874.0
37,2020-07-01,2845037.0
38,2020-08-01,2870069.0
39,2020-09-01,2897180.0
40,2020-10-01,2923915.0
41,2020-11-01,2968245.0
42,2020-12-01,3008423.0
43,2021-01-01,3028486.0
44,2021-02-01,3041238.0
45,2021-03-01,3056711.0
46,2021-04-01,3075237.0
47,2021-05-01,3077986.0
48,2021-06-01,3095163.0
49,2021-07-01,3116063.0
50,2021-08-01,3139292.0
51,2021-09-01,3154996.0
52,2021-10-01,3172072.0
53,2021-11-01,3201784.0
54,2021-12-01,3224583.0
55,2022-01-01,3244603.0
56,2022-02-01,3251696.0
57,2022-03-01,3266530.0
58,2022-04-01,3280469.0
59,2022-05-01,3296138.0
60,2022-06-01,3313334.0
61,2022-07-01,3334260.0
62,2022-08-01,3368621.0
63,2022-09-01,3386032.0
64,2022-10-01,3398265.0
65,2022-11-01,3419471.0
66,2022-12-01,3446137.0
67,2023-01-01,3460161.0
68,2023-02-01,3468881.0
69,2023-03-01,3475477.0
70,2023-04-01,3488467.5
71,2023-05-01,3501160.5
72,2023-06-01,3514916.5
73,2023-07-01,3517013.0
74,2023-08-01,3486050.0
75,2023-09-01,3450609.5
76,2023-10-01,3377471.0
77,2023-11-01,3339268.0
78,2023-12-01,3296014.0
